Titre;ISSN;ESSN;Géographie, Aménagement, Urbanisme (2013);Science politique (2011);Théologie et Sciences religieuses (2012);Histoire et philosophie des sciences (2012);Droit (2010);Anthropologie, Ethnologie (2012);Sociologie, Démographie (2013);Arts (2014);Philosophie (2013);Sciences de l'éducation (2014);SIC (2013);STAPS (2012);Gestion (2016);Economie (2015);Histoire, Histoire de l’art, Archéologie (2009);Histoire (2012);Psychologie – Ethologie – Ergonomie (2011)
Accounting History Review;2155-2851;2155-286X;;;;;;;;;;;;;Gestion (2016);;;;
@GRH;2034-9130;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
4OR: A Quarterly Journal of Operations Research;1619-4500;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Abacus;0001-3072;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Academy of Management Annals;1941-6520;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;Psychologie – Ethologie – Ergonomie (2011)
Academy of Management Journal;0001-4273;;;;;;;;Sociologie, Démographie (2013);;;;;;Gestion (2016);Economie (2015);;;Psychologie – Ethologie – Ergonomie (2011)
Academy of Management Learning & Education;1537-260X;;;;;;;;;;;;;;Gestion (2016);;;;Psychologie – Ethologie – Ergonomie (2011)
Academy of Management Perspectives;1558-9080;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;Psychologie – Ethologie – Ergonomie (2011)
Academy of Management Review;0363-7425;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;Psychologie – Ethologie – Ergonomie (2011)
Accounting and Business Research;0001-4788;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Accounting and Finance;0810-5391;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Accounting Auditing and Accountability Journal;0951-3574;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Accounting Historians Journal;0148-4184;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Accounting History;1032-3732;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Accounting Horizons;0888-7993;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Accounting in Europe;1744-9480;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Accounting, Organization and Society;0361-3682;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
ACM Transactions on Human Computer Interaction;1073-0516;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;Psychologie – Ethologie – Ergonomie (2011)
Administration and Society;0095-3997;;;Science politique (2011);;;;;;;;;;;Gestion (2016);Economie (2015);;;Psychologie – Ethologie – Ergonomie (2011)
Administrative Science Quarterly;0001-8392;;;Science politique (2011);;;;;Sociologie, Démographie (2013);;;;;;Gestion (2016);Economie (2015);;;Psychologie – Ethologie – Ergonomie (2011)
Advances in International Accounting;0897-3660;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Advances in Strategic Management;0742-3322;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
African Development Review/Revue Africaine de Developpement;1017-6772;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Agribusiness;0742-4477;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Agricultural and Resource Economics Review;1068-2805;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Agricultural Economics;0169-5150;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
AMBIO: A Journal of the Human Environment;0044-7447;1654-7209;Géographie, Aménagement, Urbanisme (2013);;;;;;;;;;;;Gestion (2016);Economie (2015);;;
American Behavioral Scientist;0002-7642;;;Science politique (2011);;;;;;;;;;;Gestion (2016);Economie (2015);;;Psychologie – Ethologie – Ergonomie (2011)
American Economic Journal: Applied Economics;1945-7782;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
American Economic Journal: Economic Policy;1945-7731;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
American Economic Journal: Macroeconomics;1945-7707;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
American Economic Journal: Microeconomics;1945-7669;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
American Economic Review;0002-8282;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
American Journal of Agricultural Economics;0002-9092;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
American Journal of Managed Care;1088-0224;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
American journal of medical quality : the official journal of the;1062-8606;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;Psychologie – Ethologie – Ergonomie (2011)
American Law and Economics Review;1465-7252;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
American Review of Public Administration;0275-0740;;;Science politique (2011);;;;;;;;;;;Gestion (2016);Economie (2015);;;Psychologie – Ethologie – Ergonomie (2011)
Annales d'Economie et de Statistique;0769-489X;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Annals of Finance;1614-2446;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Annals of Operations Research;0254-5330;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Annals of Public and Cooperative Economics;1467-8292;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Annals of Regional Science;0570-1864;1432-0592;Géographie, Aménagement, Urbanisme (2013);;;;;;;;;;;;Gestion (2016);;;;
Annals of Tourism Research;0160-7383;;Géographie, Aménagement, Urbanisme (2013);;;;;;;;;;;STAPS (2012);Gestion (2016);Economie (2015);;;Psychologie – Ethologie – Ergonomie (2011)
Antitrust Bulletin;0003-603X;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Antitrust Law and Economics Review;0003-6048;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Antitrust Law Journal;0003-6056;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Applied Economics;0003-6846;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Applied Economics Letters;1350-4851;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Applied Financial Economics;0960-3107;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Applied Health Economics and Health Policy;1175-5652;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;Psychologie – Ethologie – Ergonomie (2011)
Applied Mathematical Finance;1350-486X;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Asia Pacific Business Review;1360-2381;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Asia Pacific Journal of Human Resources;1038-4111;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;Psychologie – Ethologie – Ergonomie (2011)
Asia Pacific Journal of Management;0217-4561;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;Psychologie – Ethologie – Ergonomie (2011)
Asia Pacific Journal of Operations Research;0217-5959;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
Asian Development Review;0116-1105;;;;;;;;;;;;;;Gestion (2016);Economie (2015);;;
