Auteurs;Année;Année de soutenance;Titre;Titre journal;Année;Volume;Issue;Editeur scientifique;Titre ouvrage;Titre du volume;Editeur revue;Volume, Issue, Pages;ISBN;Titre conférence;Commentaire;Date congrès;Ville;Pays;Patent n°;Date de publication;Type de rapport;N°;Organisme de délivrance;Pages;Date de publication;Directeur de thèse;Université de soutenance;Année de soutenance;Organisme de délivrance;DOI;NNT;Pubmed;Référence;ArXiv;Description;Voir aussi;Réf. HAL;Rang HCERES;Rang CNRS
Ard V., Aoustin D., Mathé V., Onfray M., Legrand V., Bouchet É.;2016;;Découverte d'un habitat ceinturé du début du Néolithique moyen dans le Centre-Ouest de la France: Le Peu à Charmé (Charente);Bulletin de la Société Préhistorique Française;;113;;;;;;382-385;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ard V., Aoustin D., Mathé V., Onfray M., Legrand V., Bouchet E.;2016;;Découverte d’un habitat ceinturé du début du Néolithique moyen dans le Centre-Ouest de la France : le Peu à Charmé (Charente);Bulletin de la Société Préhistorique Française;;113;2;;;;;382-385;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ard V., Mens E., Poncet D., Cousseau F., Defaix J., Mathé V., Pillot L.;2016;;Life and death of Angoumoisin-type dolmens in west-central France;Bulletin de la Société Préhistorique Française;;113;4;;;;;737-764;;;;;;;;;;;;;;;;;;;;;;;;;;;
Audouard L.;2016;;Économie préhistorique des îles bretonnes (France) Apports des industries lithiques du Néolithique récent et final;Bulletin de la Société Préhistorique Française;;113;;;;;;571-586;;;;;;;;;;;;;;;;;;;;;;;;;;;
Canot E., Delannay R., Mansour S., Muhieddine M., March R.;2016;;Effective thermal conductivity of a wet porous medium – Presence of hysteresis when modeling the spatial water distribution for the pendular regimé;ASME, Journal of Heat Transfert,;;138;9;;;;;091011;;;;;;;;;;;;;;;;;;10.1115/1.4032950;;;;;;;;;
Danukalova G., Hallegouet B., Lefort J.-P., Monnier J.-L., Osipova E.;2016;;Reconstruction of the middle-late pleistocene and holocene palaeoenvironments of the Piégu Palaeolithic Site (Brittany, France) based on Biostratigraphical Data;ArcheoSciences;;39;;;;;;7-30;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deschamps S.;2016;;Erebuni in the context of Urartean fortresses in the Ararat plain: Sources and problems;Quaternary International;;395;;;;;;208-215;;;;;;;;;;;;;;;;;;10.1016/j.quaint.2015.08.056;;;;;;;;;
Dupont C.;2016;;Could occupation duration be related to the diversity of faunal remains in Mesolithic shell middens along the European Atlantic seaboard?;Quaternary International;;407;Part B;;;;;145-153;;;;;;;;;;;;;;;;;;10.1016/j.quaint.2016.01.039;;;;;;;;;
Ganne A., Leroyer C., Penaud A., Mojtahid M.;2016;;Present-day palynomorph deposits in an estuarine context: The case of the Loire Estuary;Journal of Sea Research;;118;;;;;;35-51;;;;;;;;;;;;;;;;;;10.1016/j.seares.2016.10.006;;;;;;;;;
Hammond M., Lanos P., Hill M., Colleoni F.;2016;;An Archaeomagnetic Study of a Roman Bath in Southern France;Archaeometry;;;;;;;;Accepté;;;;;;;;;;;;;;;;;;10.1111/arcm.12240;;;;;;;;;
Hernanz A., Iriarte M., Bueno-Ramírez P., De Balbín-Behrmann R., Gavira-Vallejo J. M., Calderón-Saturio D., Laporte L., Barroso-Bermejo R., Gouezin P., Maroto-Valiente A., Salanova L., Benetau-Douillard G., Mens E.;2016;;Raman microscopy of prehistoric paintings in French megalithic monuments;Journal of Raman Spectroscopy;;47;5;;;;;571-578;;;;;;;;;;;;;;;;;;10.1002/jrs.4852;;;;;;;;;
Hérisson D., Coutard S., Goval E., Locht J.-L., Antoine P., Chantreau Y., Debenham N.;2016;;A new key-site for the end of Lower Palaeolithic and the onset of Middle Palaeolithic at Etricourt-Manancourt (Somme, France);Quaternary International;;409;;;;;;73-91;;;;;;;;;;;;;;;;;;10.1016/j.quaint.2016.01.055;;;;;;;;;
Iriarte M., Bueno Ramirez P., Balbin Behrmann R., Gavira-Vallejo J. M., Calderón-Saturio D., Laporte L., Barroso Bermejo R., Gouezin P., Maroto-Valiente A., Salanova L., Benetau-Douillard G., Mens E.;2016;;Raman microscopy of prehistoric paintings in French megalithic monuments;Journal of Raman Spectroscopy;;;47;;;;;571-578;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jude F., Marguerie D., Badalyan R., Smith A. T., Delwaide A.;2016;;Wood resource management based on charcoals from the Bronze Age site of Gegharot (central Armenia);Quaternary International;;395;;;;;;31-44;;;;;;;;;;;;;;;;;;10.1016/j.quaint.2015.04.019;;;;;;;;;
Leroyer C., Joannin S., Aoustin D., Ali A. A., Peyron O., Ollivier V., Tozalakyan P., Karakhanyan A., Jude F.;2016;;Mid Holocene vegetation reconstruction from Vanevan peat (south-eastern shore of Lake Sevan, Armenia);Quaternary International;;395;;;;;;5-18;;;;;;;;;;;;;;;;;;10.1016/j.quaint.2015.06.008;;;;;;;;;
Locht J.-L., Hérisson D., Goval E., Cliquet D., Huet B., Coutard S., Antoine P., Feray P.;2016;;Timescales, space and culture during the Middle Palaeolithic in northwestern France;Quaternary International;;411;Part A;;;;;129-148;;;;;;;;;;;;;;;;;;10.1016/j.quaint.2015.07.053;;;;;;;;;
Mens E., Berthaud G., Raux P., Berson B., Joussaume R., Le Jeune Y., Barreau J.-B., Jupin S., Bernard Y., Cousseau S., Pfost D.;2016;;Les stèles gravées du plateau de la Bretellière à Saint-Macaire-en-Mauges;Arqueología y Prehistoria del Interior Peninsular;;4 extra;;;;;;165-181;;;;;;;;;;;;;;;;;;;;;;;;;;;
Monnier J.-L., Ravon A.-L., Hinguant S., Hallegouet B., Gaillard C., Laforge M.;2016;;Menez-Dregan 1 (Plouhinec, Finistère, France) : un site d'habitat du Paléolithique inférieur en grotte marine. Stratigraphie, structures de combustion, industries riches en galets aménagés [Menez-Dregan 1 (Plouhinec, Finistère, France): A Lower Paleolithic site in a marine cave. Stratigraphy, structures of combustion, lithic industry with cobble tools];Anthropologie (France);;120;;;;;;237-262;;;;;;;;;;;;;;;;;;10.1016/j.anthro.2016.05.003;;;;;;;;;
Moreau J.-D., Néraudeau D., Platel J.-P., Ravon A.-L.;2016;;Les silex fossilifères (invertébrés marins et plantes terrestres) du Crétacé supérieur de Claix (Charente);Annales de Paléontologie;;102;2;;;;;103-116;;;;;;;;;;;;;;;;;;10.1016/j.annpal.2016.05.003;;;;;;;;;
Ravon A.-L., Monnier J.-L., Laforge M.;2016;;Menez-Dregan I, layer 4: A transitional layer between the Lower and Middle Palaeolithic in Brittany;Quaternary International;;409;Part B;;;;;92-103, Special Issue: The Hoslteinian period in Europe (MIS 11-9);;;;;;;;;;;;;;;;;;10.1016/j.quaint.2015.07.066;;;;;;;;;
Ravon A.-L., Gaillard C., Monnier J.-L.;2016;;Menez-Dregan (Plouhinec, far western Europe): The lithic industry from layer 7 and its Acheulean components;Quaternary International;;411;Part B;;;;;132-143;;;;;;;;;;;;;;;;;;10.1016/j.quaint.2015.12.097;;;;;;;;;
Roebroeks W., Santagata C., Turq A., Van Peer P., Hérisson D., Brenet M., Cliquet D., Moncel M.-H., Richter J., Scott B., Van Baelen A., Di Modica K., De Loecker D., Ashton N., Bourguignon L., Delagnes A., Faivre J.-P., Folgado-Lopez M., Locht J.-L., Pope M., Raynal J.-P.;2016;;The emergence of the Middle Palaeolithic in north-western Europe and its southern fringes;Quaternary International;;411;;;;;;233-283;;;;;;;;;;;;;;;;;;10.1016/j.quaint.2016.02.049;;;;;;;;;
Sanchez Goni M. F., Ortu E., Banks W. E., Giraudeau J., Leroyer C., Hanquiez V.;2016;;The expansion of Central and Northern European Neolithic populations was associated with a multi-century warm winter and wetter climate;Holocene;;26;8;;;;;1188-1199;;;;;;;;;;;;;;;;;;10.1177/0959683616638435;;;;;;;;;
Steelandt S., Pierson-Wickmann A.-C., Bhiry N., Marguerie D., Bouhnik-Le Coz M.;2016;;Chemical Differentiation between Immersed and Dry Wood Samples in Nunavik (Northern Quebec, Canada): Preliminary Results;Artic, Antartic, and Alpine Research;;48;2;;;;;315-325;;;;;;;;;;;;;;;;;;10.1657/AAAR0014-082;;;;;;;;;
Touze O., Flas D., Pesesse D.;2016;;Technical diversity within the tanged-tool Gravettian: New results from Belgium;Quaternary International;;406;;;;;;65-83;;;;;;;;;;;;;;;;;;10.1016/j.quaint.2015.11.034;;;;;;;;;

