Auteurs;Année;Année de soutenance;Titre;Titre journal;Année;Volume;Issue;Editeur scientifique;Titre ouvrage;Titre du volume;Editeur revue;Volume, Issue, Pages;ISBN;Titre conférence;Commentaire;Date congrès;Ville;Pays;Patent n°;Date de publication;Type de rapport;N°;Organisme de délivrance;Pages;Date de publication;Directeur de thèse;Université de soutenance;Année de soutenance;Organisme de délivrance;DOI;NNT;Pubmed;Référence;ArXiv;Description;Voir aussi;Réf. HAL;Rang HCERES;Rang CNRS
Dao T.-S., Le V.-N., Bui B.-T., Dinh K. V., Wiegand C., Nguyen T.-S., Dao C.-T., Nguyen V.-D., To T.-H., Nguyen L.-S., Vo T.-G., Vo T.-M.;2017;;Sensitivity of a tropical micro-crustacean (Daphnia lumholtzi) to trace metals tested in natural water of the Mekong River;Science of the Total Environment;;574;;;;;;1360-1370;;;;;;;;;;;;;;;;;;10.1016/j.scitotenv.2016.08.049;;27528484;;;;;;;
Gillard M., Grewell B. J., Deleu C., Thiébaut G.;2017;;Climate warming and water primroses: Germination responses of populations from two invaded ranges;Aquatic Botany;;136;;;;;;155-163;;;;;;;;;;;;;;;;;;10.1016/j.aquabot.2016.10.001;;;;;;;;;
Gérard C., Miura O., Lorda J., Cribb T. H., Nolan M. J., Hechinger R. F.;2017;;A native-range source for a persistent trematode parasite of the exotic New Zealand mudsnail (Potamopyrgus antipodarum) in France;Hydrobiologia;;785;1;;;;;115-126;;;;;;;;;;;;;;;;;;10.1007/s10750-016-2910-8;;;;;;;;;
Prinzing A., Ozinga W. A., Brändle M., Courty P.-E., Hennion F., Labandeira C., Parisod C., Pihain M., Bartish I. V.;2017;;Benefits from living together? Clades whose species use similar habitats may persist as a result of eco-evolutionary feedbacks;New Phytologist;;213;1;;;;;66-82;;;;;;;;;;;;;;;;;;10.1111/nph.14341;;;;;;;;;

Auteurs;Année;Année de soutenance;Titre;Titre journal;Année;Volume;Issue;Editeur scientifique;Titre ouvrage;Titre du volume;Editeur revue;Volume, Issue, Pages;ISBN;Titre conférence;Commentaire;Date congrès;Ville;Pays;Patent n°;Date de publication;Type de rapport;N°;Organisme de délivrance;Pages;Date de publication;Directeur de thèse;Université de soutenance;Année de soutenance;Organisme de délivrance;DOI;NNT;Pubmed;Référence;ArXiv;Description;Voir aussi;Réf. HAL;Rang HCERES;Rang CNRS
Dao T.-S., Le V.-N., Bui B.-T., Dinh K. V., Wiegand C., Nguyen T.-S., Dao C.-T., Nguyen V.-D., To T.-H., Nguyen L.-S., Vo T.-G., Vo T.-M.;2017;;Sensitivity of a tropical micro-crustacean (Daphnia lumholtzi) to trace metals tested in natural water of the Mekong River;Science of the Total Environment;;574;;;;;;1360-1370;;;;;;;;;;;;;;;;;;10.1016/j.scitotenv.2016.08.049;;27528484;;;;;;;
Gillard M., Grewell B. J., Deleu C., Thiébaut G.;2017;;Climate warming and water primroses: Germination responses of populations from two invaded ranges;Aquatic Botany;;136;;;;;;155-163;;;;;;;;;;;;;;;;;;10.1016/j.aquabot.2016.10.001;;;;;;;;;
Gérard C., Miura O., Lorda J., Cribb T. H., Nolan M. J., Hechinger R. F.;2017;;A native-range source for a persistent trematode parasite of the exotic New Zealand mudsnail (Potamopyrgus antipodarum) in France;Hydrobiologia;;785;1;;;;;115-126;;;;;;;;;;;;;;;;;;10.1007/s10750-016-2910-8;;;;;;;;;
Prinzing A., Ozinga W. A., Brändle M., Courty P.-E., Hennion F., Labandeira C., Parisod C., Pihain M., Bartish I. V.;2017;;Benefits from living together? Clades whose species use similar habitats may persist as a result of eco-evolutionary feedbacks;New Phytologist;;213;1;;;;;66-82;;;;;;;;;;;;;;;;;;10.1111/nph.14341;;;;;;;;;


Auteurs;Année;Année de soutenance;Titre;Titre journal;Année;Volume;Issue;Editeur scientifique;Titre ouvrage;Titre du volume;Editeur revue;Volume, Issue, Pages;ISBN;Titre conférence;Commentaire;Date congrès;Ville;Pays;Patent n°;Date de publication;Type de rapport;N°;Organisme de délivrance;Pages;Date de publication;Directeur de thèse;Université de soutenance;Année de soutenance;Organisme de délivrance;DOI;NNT;Pubmed;Référence;ArXiv;Description;Voir aussi;Réf. HAL;Rang HCERES;Rang CNRS
Dao T.-S., Le V.-N., Bui B.-T., Dinh K. V., Wiegand C., Nguyen T.-S., Dao C.-T., Nguyen V.-D., To T.-H., Nguyen L.-S., Vo T.-G., Vo T.-M.;2017;;Sensitivity of a tropical micro-crustacean (Daphnia lumholtzi) to trace metals tested in natural water of the Mekong River;Science of the Total Environment;;574;;;;;;1360-1370;;;;;;;;;;;;;;;;;;10.1016/j.scitotenv.2016.08.049;;27528484;;;;;;;
Gillard M., Grewell B. J., Deleu C., Thiébaut G.;2017;;Climate warming and water primroses: Germination responses of populations from two invaded ranges;Aquatic Botany;;136;;;;;;155-163;;;;;;;;;;;;;;;;;;10.1016/j.aquabot.2016.10.001;;;;;;;;;
Gérard C., Miura O., Lorda J., Cribb T. H., Nolan M. J., Hechinger R. F.;2017;;A native-range source for a persistent trematode parasite of the exotic New Zealand mudsnail (Potamopyrgus antipodarum) in France;Hydrobiologia;;785;1;;;;;115-126;;;;;;;;;;;;;;;;;;10.1007/s10750-016-2910-8;;;;;;;;;
