Collection;Auteurs;Année;Année de soutenance;Titre;Titre journal;Année;Volume;Issue;Editeur scientifique;Titre ouvrage;Titre du volume;Editeur revue;Volume, Issue, Pages;ISBN;Titre conférence;Commentaire;Date congrès;Ville;Pays;Patent n°;Date de publication;Type de rapport;N°;Organisme de délivrance;Pages;Date de publication;Directeur de thèse;Université de soutenance;Année de soutenance;Organisme de délivrance;DOI;NNT;Pubmed;Référence;ArXiv;Description;Voir aussi;Réf. HAL;Rang HCERES;Rang CNRS
GR4 - 1 ;Armijos E., Crave A., Espinoza R., Fraizy P., Dos Santos A., Sampaio F., Al. E.;2017;;Measuring and modeling vertical gradients in suspended sediments in the Solimões/Amazon River;Hydrological Processes;;33;1;;;;;564-667;;;;;;;;;;;;;;;;;;10.1002/hyp.11059;;;;;;;;;
GR6 - 1 GR9 - 1 ;Babey T., Vieublé Gonod L., Rapaport A., Pinheiro M., Garnier P., Dreuzy J.-R.;2017;;Spatiotemporal simulations of 2,4-D pesticide degradation by microorganisms in 3D soil-core experiments;Ecological Modelling;;344;;;;;;48-61;;;;;;;;;;;;;;;;;;10.1016/j.ecolmodel.2016.11.006;;;;;;;;;
GR8 - 1 ;Ballouard C., Poujol M., Boulvais P., Mercadier J., Tartese R., Vennemann T., Deloule E., Jolivet M., Kéré I., Cathelineau M., Cuney M.;2017;;Magmatic and hydrothermal behavior of uranium in syntectonic leucogranites: The uranium mineralization associated with the Hercynian Grande granite (Armorican Massif, France);Ore Geology Reviews;;80;;;;;;309-331;;;;;;;;;;;;;;;;;;10.1016/j.oregeorev.2016.06.034;;;;;;;;;
;Bandopadhyay A., Mandal S., Chakraborty S.;2017;;Capillary transport of two immiscible fluids in presence of electroviscous retardation;ELECTROPHORESIS;;;;;;;;to appear;;;;;;;;;;;;;;;;;;10.1002/elps.201600395;;;;;;;;;
GR9 - 2 ;Bandopadhyay A., Le Borgne T., Méheust Y., Dentz M.;2017;;Enhanced reaction kinetics and reactive mixing scale dynamics in mixing fronts under shear flow for arbitrary Damköhler numbers;Advances in Water Resources;;100;;;;;;78-95;;;;;;;;;;;;;;;;;;10.1016/j.advwatres.2016.12.008;;;;;;;;;
GR1 - 1 ;Beimforde C., Seyfullah L. J., Perrichot V., Schmidt K., Rikkinen J., Schmidt A.-R.;2017;;Resin exudation and resinicolous communities on Araucaria humboldtensis in New Caledonia;Arthropod-Plant Interactions;;;;;;;;to appear;;;;;;;;;;;;;;;;;;10.1007/s11829-016-9475-3;;;;;;;;;
;Bert D., Bersac S., Juárez-Ruiz J., Hughes Z.;2017;;Size reduction and ornamental oscillation within a Barremian lineage of giant heteromorphic ammonites (Early Cretaceous, northwestern Tethyan margin);Cretaceous Research;;;;;;;;to appear;;;;;;;;;;;;;;;;;;10.1016/j.cretres.2017.02.001;;;;;;;;;
GR9 - 3 ;Bertrand G., Hirata R., Auler A., Cruz F., Cary L., Petelet-Giraud E., Chatton E., Aquilina L., Moquet J.-S., Bustamante M., Millo C., Martins V., Montenegro S., Celle-Jeanton H.;2017;;Groundwater isotopic data as potential proxy for Holocene paleohydroclimatic and paleoecological models in NE Brazil;Palaeogeography, Palaeoclimatology, Palaeoecology;;469;;;;;;92-103;;;;;;;;;;;;;;;;;;10.1016/j.palaeo.2017.01.004;;;;;;;;;
GR1 - 2 ;Breton G., Wissak M., Néraudeau D., Morel N.;2017;;A new bioerosion trace fossil made by a parasitic gastropod on an upper Cenomanian oyster from Le Mans (France), with an overview of the ichnologic and taphonomic context;Acta Palaeontologica Polonica;;;;;;;;to appear;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Busse J., Dreuzy J.-R., Galindo Torres S., Bringemeier D., Scheuermann A.;2017;;Image processing based characterisation of coal cleat networks;International Journal of Coal Geology;;169;;;;;;1-21;;;;;;;;;;;;;;;;;;10.1016/j.coal.2016.11.010;;;;;;;;;
GR9 - 4 ;Chatton E., Labasque T., De La Bernardie J., Guihéneuf N., Bour O., Aquilina L.;2017;;Field continuous measurement of dissolved gases with a CF-MIMS: Applications to the physics and biogeochemistry of groundwater flow;Environmental Science & Technology;;;;;;;;to appear;;;;;;;;;;;;;;;;;;10.1021/acs.est.6b03706;;;;;;;;;
GR3 - 1 ;Chiara P., Tamburini F., Gruau G., Ferhi A., Trevisan D., Dorioz J.-M.;2017;;Tracing the sources and cycling of phosphorus in river sediments using oxygen isotopes: Methodological adaptations and first results from a case study in France;Water Research;;111;;;;;;346-356;;;;;;;;;;;;;;;;;;10.1016/j.watres.2016.12.038;;;;;;;;;
GR1 - 3 ;Dal Corso J., Schmidt A., Seyfullah L., Preto N., Ragazzi E., Jenkyns H., Delclòs X., Néraudeau D., Roghi G.;2017;;Evaluating the use of amber in palaeoatmospheric reconstructions: The carbon-isotope variability of modern and Cretaceous conifer resins;Geochimica et Cosmochimica Acta;;199;;;;;;351-369;;;;;;;;;;;;;;;;;;10.1016/j.gca.2016.11.025;;;;;;;;;
GR8 - 2 ;Ducoux M., Branquet Y., Jolivet L., Arbaret L., Grasemann B., Rabillard A., Gumiaux C., Drufin S.;2017;;Synkinematic skarns and fluid drainage along detachments: The West Cy- cladic Detachment System on Serifos Island (Cyclades, Greece) and its related mineralization;Tectonophysics;;695;;;;;;1-26;;;;;;;;;;;;;;;;;;10.1016/j.tecto.2016.12.008;;;;;;;;;
;Farasin J., Koechler S., Varet H., Deschamps J., Dillies M.-A., Proux C., Erhardt M., Huber A., Jagla B., Briandet R., Coppée J.-Y., Arsene-Ploetze F.;2017;;Comparison of biofilm formation and motility processes in arsenic-resistant Thiomonas spp. strains revealed divergent response to arsenite;Microbial biotechnology;;;;;;;;to appear;;;;;;;;;;;;;;;;;;10.1111/1751-7915.12556;;28169492;;;;;;;
GR8 - 3 ;Fontaine A., Eglinger A., Ada K., André-Mayer A.-S., Reisberg L., Siebenaller L., Le Mignot E., Ganne J., Poujol M.;2017;;Geology of the world-class Kiaka polyphase gold deposit, West African Craton, Burkina Faso;Journal of African Earth Sciences;;126;;;;;;96-122;;;;;;;;;;;;;;;;;;10.1016/j.jafrearsci.2016.11.017;;;;;;;;;
GR8 - 4 GR7 - 1 ;Frasca G., Gueydan F., Poujol M., Brun J.-P., Parat F., Monié P., Pichat A., Mazier S.;2017;;Fast switch from extensional exhumation to thrusting of the Ronda Peridotites (South Spain);Terra Nova;;;;;;;;to appear;;;;;;;;;;;;;;;;;;10.1111/ter.12255;;;;;;;;;
GR8 - 5 ;Gautier P., Quesnel B., Boulvais P., Cathelineau M.;2017;;The emplacement of the Peridotite Nappe of New Caledonia and its bearing on the tectonics of obduction:;Tectonics;;;;;;;;to appear;;;;;;;;;;;;;;;;;;10.1002/2016TC004318;;;;;;;;;
;Gigault J., Mignard E., El Hadri H., Grassi B.;2017;;Measurement Bias on Nanoparticle Size Characterization by Asymmetric Flow Field-Flow Fractionation Using Dynamic Light-Scattering Detection;Chromatographia;;;;;;;;to appear;;;;;;;;;;;;;;;;;;10.1007/s10337-017-3250-1;;;;;;;;;
GR7 - 2 ;Gueydan F., Brun J.-P., Phillippon M., Noury M.;2017;;Sequential extension as a record of Corsica Rotation during Apennines slab roll-back;Tectonophysics;;;;;;;;to appear;;;;;;;;;;;;;;;;;;10.1016/j.tecto.2016.12.028;;;;;;;;;
GR3 - 2 ;Guénet H., Davranche M., Vantelon D., Bouhnik-Le Coz M., Jardé E., Pierson-Wickmann A.-C., Dorcet V., Jestin J.;2017;;Highlighting the wide variability in arsenic speciation in wetlands: a new insight into the control of the behavior of arsenic;Geochimica et Cosmochimica Acta;;203;;;;;;284-302;;;;;;;;;;;;;;;;;;10.1016/j.gca.2017.01.013;;;;;;;;;
GR4 - 2 ;Janowski M., Loget N., Gautheron C., Barbarand J., Bellahsen N., Van Den Driessche J., Babault J., Meyer B.;2017;;Neogene exhumation and relief evolution in the eastern Betics (SE Spain): insights from the Sierra de Gador;Terra Nova;;;;;;;;1-8;;;;;;;;;;;;;;;;;;10.1111/ter.12252;;;;;;;;;
GR6 - 2 ;Lanos P., Philippe A.;2017;;Hierarchical Bayesian modeling for combining dates in archaeological context;Journal de la Société Française de Statistiques;;;;;;;;to appear;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Leray S., Engdahl N., Massoudieh A., Bresciani E., Mccallum J.;2017;;Residence time distributions for hydrologic systems: Mechanistic foundations and steady-state analytical solutions;Journal of Hydrology;;543;Part A;;;;;67-87;;;;;;;;;;;;;;;;;;10.1016/j.jhydrol.2016.01.068;;;;;;;;;
GR9 - 5 ;Lesparre N., Boudin F., Champollion C., Chery J., Danquigny C., Seat H. C., Cattoen M., Lizion F., Longuevergne L.;2017;;New insights on fractures deformation from tiltmeter data measured inside the Fontaine de Vaucluse karst system;Geophysical Journal International;;208;3;;;;;1389-1402;;;;;;;;;;;;;;;;;;10.1093/gji/ggw446;;;;;;;;;
GR3 - 3 ;Marsac R., Banik N., Lützenkirchen J., Catrouillet C., Marquardt C., Johannesson K.;2017;;Modeling metal ion-humic substances complexation in highly saline conditions;Applied Geochemistry;;;;;;;;to appear;;;;;;;;;;;;;;;;;;10.1016/j.apgeochem.2017.02.004;;;;;;;;;
GR5 - 1 GR9 - 6 ;Marteau J., De Bremond D'ars J., Gibert D., Jourde K., Ianigro J.-C., Carlus B.;2017;;DIAPHANE: Muon tomography applied to volcanoes, civil engineering, archaelogy;Journal of Instrumentation;;;;;;;;to appear;;;;;;;;;;;;;;;;;;;;;;;;;;;
GR1 - 4 ;Moreau J.-D., Néraudeau D., Perrichot V., Tafforeau P.;2017;;100-million-year-old conifer tissues from the mid-Cretaceous amber of Charente (western France) revealed by synchrotron microtomography;Annals of Botany;;119;1;;;;;117-128;;;;;;;;;;;;;;;;;;10.1093/aob/mcw225;;;;;;;;;
GR3 - 4 GR1 - 5 ;Néraudeau D., Perrichot V., Batten D., Boura A., Girard V., Jeanneau L., Nohra Y., Polette F., Saint-Martin S., Saint-Martin J.-P., Thomas R.;2017;;Upper Cretaceous amber from Vendée, north-western France: age dating and geological, chemical, and palaeontological characteristics;Cretaceous Research;;70;;;;;;77-95;;;;;;;;;;;;;;;;;;10.1016/j.cretres.2016.10.001;;;;;;;;;
GR8 - 6 ;Pitra P., Schulmann K., Martínez Catalán J. R., Ballèvre M.;2017;;The Variscan belt: correlations and plate dynamics;International Journal of Earth Sciences;;;;;;;;to appear;;;;;;;;;;;;;;;;;;10.1007/s00531-017-1449-x;;;;;;;;;
GR8 - 7 GR2 - 1 ;Quesnel B., Le Carlier De Veslud C., Boulvais P., Gautier P., Cathelineau M., Drouillet M.;2017;;3D modeling of the laterites on top of the Koniambo Massif, New Caledonia: refinement of the per descensum lateritic model for nickel mineralization;Mineralium Deposita;;;;;;;;to appear;;;;;;;;;;;;;;;;;;10.1007/s00126-017-0712-1;;;;;;;;;
GR8 - 8 ;Rossi M., Gasquet D., Cheilletz A., Tarrieu L., Bounajma H., Mantoy T., Reisberg L., Deloule E., Boulvais P., Burnard P.;2017;;Isotopic and geochemical constraints on lead and fluid sources of the Pb-Zn-Ag mineralization in the polymetallic Tighza-Jbel Aouam district (central Morocco), and relationships with the geodynamic context;Journal of African Earth Sciences;;127;;;;;;194-210;;;;;;;;;;;;;;;;;;10.1016/j.jafrearsci.2016.08.011;;;;;;;;;
GR9 - 7 ;Scanlon B. R., Zhang Z., Save H., Wiese D., Landerer F., Long D., Longuevergne L., Chen J.;2017;;Global Evaluation of New GRACE Mascon Products for Hydrologic Applications;Water Resources Research;;52;12;;;;;9412-9429;;;;;;;;;;;;;;;;;;10.1002/2016WR019494;;;;;;;;;
GR2 - 2 ;Shi X., Yu J., Broutin J., Pons D., Rossignol C., Bourquin S., Crasquin S., Li Q., Shu W.;2017;;Turpanopitys taoshuyuanense gen. et sp. nov., a novel woody branch discovered in Early Triassic deposits of the Turpan Basin, Northwest China, and its palaeoecological and palaeoclimate implications;Palaeogeography, Palaeoclimatology, Palaeoecology;;468;;;;;;314-326;;;;;;;;;;;;;;;;;;10.1016/j.palaeo.2016.12.026;;;;;;;;;
GR9 - 8 ;Thomas Z., Rousseau-Gueutin P., Kolbe T., Abbott B. W., Marçais J., Peiffer S., Frei S., Bishop K., Pichelin P., Pinay G., Dreuzy J.-R.;2017;;Constitution of a catchment virtual observatory for sharing flow and transport models outputs;Journal of Hydrology;;543;Part A;;;;;59-66;;;;;;;;;;;;;;;;;;10.1016/j.jhydrol.2016.04.067;;;;;;;;;
GR8 - 9 ;Tual L., Pitra P., Möller C.;2017;;P–T evolution of Precambrian eclogite in the Sveconorwegian orogen, SW Sweden;Journal of Metamorphic Geology;;;;;;;;to appear;;;;;;;;;;;;;;;;;;10.1111/jmg.12242;;;;;;;;;
GR7 - 3 ;Yamato P., Brun, J.-P.;2017;;Metamorphic record of catastrophic pressure drops in subduction zones;Nature Geoscience;;10;;;;;;46-50;;;;;;;;;;;;;;;;;;10.1038/ngeo2852;;;;;;;;;
GR8 - 10 ;Yücel C., Arslan M., Temizel I., Abdioğlu E., Ruffet G.;2017;;Evolution of K-rich magmas derived from a net veined lithospheric mantle in an ongoing extensional setting: Geochronology and geochemistry of Eocene and Miocene volcanic rocks from Eastern Pontides (Turkey);Gondwana Research;;;;;;;;;;;;;;;;;;;;;;;;;;10.1016/j.gr.2016.12.016;;;;;;;;;

