Auteurs;Année;Année de soutenance;Titre;Titre journal;Année;Volume;Issue;Editeur scientifique;Titre ouvrage;Titre du volume;Editeur revue;Volume, Issue, Pages;ISBN;Titre conférence;Commentaire;Date congrès;Ville;Pays;Patent n°;Date de publication;Type de rapport;N°;Organisme de délivrance;Pages;Date de publication;Directeur de thèse;Université de soutenance;Année de soutenance;Organisme de délivrance;DOI;NNT;Pubmed;Référence;ArXiv;Description;Voir aussi;Réf. HAL;Rang HCERES;Rang CNRS
Alarcon-Diez V., Eddrieff M., Vickridge I.;2015;;Rutherford Backscattering Spectrometry analysis of iron-containing Bi2Se3 Topological Insulator thin films;Nuclear Instruments and Methods in Physics Research Section B: Beam Interactions with Materials and Atoms;;371;;;;;;224-229;;;;;;;;;;;;;;;;;;10.1016/j.nimb.2015.11.031;;;;;;;;;
Barbier A., Aghavnian T., Badjeck V., Mocuta C., Stanescu D., Magnan H., Rountree C. L., Belkhou R., Ohresser P., Jedrecy N.;2015;;Antiferromagnetic long-range spin ordering in Fe- and NiFe2-doped BaTiO3 multiferroic layers;Physical Review B : Condensed matter and materials physics;;91;3;;;;;035417;;;;;;;;;;;;;;;;;;10.1103/PhysRevB.91.035417;;;;;;;;;
Bridonneau N., Long J., Cantin J.-L., Von Bardeleben J., Pillet S., Bendeif E., Aravena D., Ruiz E., Marvaud V.;2015;;First evidence of a light-induced spin transition in a Molybdenum (IV);Chemical Communications (London);;51;;;;;;8229;;;;;;;;;;;;;;;;;;10.1039/C5CC01714A;;;;;;;;;
Bridonneau N., Long J., Cantin J.-L., Von Bardeleben J., R. Talham D., Marvaud V.;2015;;Photomagnetic molecular and extended network Langmuir-Blodgett films based on cyanide bridged Molybdenum-Copper complexes.;RSC Advances;;5;;;;;;16696;;;;;;;;;;;;;;;;;;10.1039/C4RA16915H;;;;;;;;;
Doistau B., Cantin J.-L., Chamoreau L.-M., Marvaud V., Hasenknopf B., Vives G.;2015;;Mechanical switching of magnetic interaction by tweezers-type complex;Chemical Communications;;51;65;;;;;12916-12919;;;;;;;;;;;;;;;;;;10.1039/C5CC04980F;;;;;;;;;
Grosman A., Puibasset J., Rolley E.;2015;;Adsorption-induced strain of a nanoscale silicon honeycomb;EPL - Europhysics Letters;;109;5;;;;;56002;;;;;;;;;;;;;;;;;;10.1209/0295-5075/109/56002;;;;;;;;;
Nistor M., Millon E., Cachoncinlle C., Seiler W., Jedrecy N., Hebert C., Perrière J.;2015;;Transparent conductive Nd-doped ZnO thin films;Journal of Physics D: Applied Physics;;48;19;;;;;195103 (9pp);;;;;;;;;;;;;;;;;;10.1088/0022-3727/48/19/195103;;;;;;;;;
Shames A. I., Osipov V. Y., Boudou J. P., Panich A. M., Bardeleben H. J., Treussart F., Vul' A. Y.;2015;;Magnetic resonance tracking of fluorescent nanodiamond fabrication;Journal of Physics D: Applied Physics;;48;15;;;;;155302;;;;;;;;;;;;;;;;;;10.1088/0022-3727/48/15/155302;;;;;;;;;
Shihab S., Riahi H., Thevenard L., Von Bardeleben H., Lemaître A., Gourdon C.;2015;;Systematic study of the spin stiffness dependence on phosphorus alloying in the ferromagnetic semiconductor (Ga,Mn)As;Applied Physics Letters;;106;14;;;;;142408;;;;;;;;;;;;;;;;;;10.1063/1.4917423;;;;;;;;;

