Auteurs;Année;Année de soutenance;Titre;Titre journal;Année;Volume;Issue;Editeur scientifique;Titre ouvrage;Titre du volume;Editeur revue;Volume, Issue, Pages;ISBN;Titre conférence;Commentaire;Date congrès;Ville;Pays;Patent n°;Date de publication;Type de rapport;N°;Organisme de délivrance;Pages;Date de publication;Directeur de thèse;Université de soutenance;Année de soutenance;Organisme de délivrance;DOI;NNT;Pubmed;Référence;ArXiv;Description;Voir aussi;Réf. HAL;Rang HCERES;Rang CNRS
Adde A., Roucou P., Mangeas M., Ardillon V., Desenclos J.-C., Rousset D., Girod R., Briolant S., Quenel P., Flamand C.;2016;;Predicting dengue fever outbreaks in French Guiana using climate indicators.;PLoS Neglected Tropical Diseases;;10;4;;;;;e0004681;;;;;;;;;;;;;;;;;;10.1371/journal.pntd.0004681;;27128312;;;;;;;
Adler-Moore J. P., Gangneux J.-P., Pappas P. G.;2016;;Comparison between liposomal formulations of amphotericin B;Medical Mycology;;54;2;;;;;223-231;;;;;;;;;;;;;;;;;;10.1093/mmy/myv111;;26768369;;;;;;;
Atramont A., Guida F., Mattei F., Matrat M., Cenée S., Sanchez M., Carton M., Menvielle G., Marrer E., Neri M., Luce D., Stücker I.;2016;;Professional Cleaning Activities and Lung Cancer Risk Among Women Results From the ICARE Study;Journal of Occupational and Environmental Medicine;;58;6;;;;;610-616;;;;;;;;;;;;;;;;;;10.1097/JOM.0000000000000722;;27206119;;;;;;;
Bertin M., Touvier M., Dubuisson C., Dufour A., Havard S., Lafay L., Volatier J.-L., Lioret S.;2016;;Dietary patterns of French adults: associations with demographic, socio-economic and behavioural factors;Journal of Human Nutrition and Dietetics;;29;2;;;;;241-254;;;;;;;;;;;;;;;;;;10.1111/jhn.12315;;;;;;;;;
Bodeau-Livinec F., Glorennec P., Cot M., Dumas P., Durand S., Massougbodji A., Ayotte P., Le Bot B.;2016;;Elevated Blood Lead Levels in Infants and Mothers in Benin and Potential Sources of Exposure;International Journal of Environmental Research and Public Health;;13;3;;;;;316;;;;;;;;;;;;;;;;;;10.3390/ijerph13030316;;26978384;;;;;;;
Bomo J., Ezan F., Tiaho F., Bellamri M., Langouët S., Theret N., Baffet G.;2016;;Increasing 3D Matrix Rigidity Strengthens Proliferation and Spheroid Development of Human Liver Cells in a Constant Growth Factor Environment;Journal of Cellular Biochemistry;;117;3;;;;;708-720;;;;;;;;;;;;;;;;;;10.1002/jcb.25356;;26331987;;;;;;;
Bonnet A., Kerbrat A., Tattevin P., Salmon A., Jouneau S., Edan G., Gasnault J.;2016;;Progressive multifocal leukoencephalopathy in a patient with silicosis;Journal of Neurology;;263;;;;;;1866-1868;;;;;;;;;;;;;;;;;;10.1007/s00415-016-8216-y;;;;;;;;;
Bonnin N., Armandy E., Carras J., Ferrandon S., Battiston-Montagne P., Aubry M., Guihard S., Meyronet D., Foy J.-P., Saintigny P., Ledrappier S., Jung A., Rimokh R., Rodriguez-Lafrasse C., Poncet D.;2016;;MiR-422a promotes loco-regional recurrence by targeting NT5E/CD73 in head and neck squamous cell carcinoma;Oncotarget;;7;28;;;;;44023-44038;;;;;;;;;;;;;;;;;;10.18632/oncotarget.9829;;;;;;;;;
Bougnoux M.-E., Dannaoui E., Accoceberry I., Angoulvant A., Bailly E., Botterel F., Chevrier S., Chouaki T., Cornet M., Dalle F., Datry A., Dupuis A., Fekkar A., Gangneux J., Guitard J., Hennequin C., Le Govic Y., Le Pape P., Maubon D., Ranque S., Sautour M., Sendid B., Chandenier J.;2016;;Multicenter comparison of the etest and EUCAST methods for antifungal susceptibility testing of Candida isolates to micafungin;Antimicrobial Agents and Chemotherapy;;60;;;;;;5088-5091;;;;;;;;;;;;;;;;;;10.1128/AAC.00630-16;;;;;;;;;
Boulle F., Pawluski J. L., Homberg J. R., Machiels B., Kroeze Y., Kumar N., Steinbusch H. W. M., Kenis G., Hove D. L. A.;2016;;Developmental fluoxetine exposure increases behavioral despair and alters epigenetic regulation of the hippocampal BDNF gene in adult female offspring;Hormones and Behavior;;80;;;;;;47-57;;;;;;;;;;;;;;;;;;10.1016/j.yhbeh.2016.01.017;;;;;;;;;
