Auteurs;Année;Année de soutenance;Titre;Titre journal;Année;Volume;Issue;Editeur scientifique;Titre ouvrage;Titre du volume;Editeur revue;Volume, Issue, Pages;ISBN;Titre conférence;Commentaire;Date congrès;Ville;Pays;Patent n°;Date de publication;Type de rapport;N°;Organisme de délivrance;Pages;Date de publication;Directeur de thèse;Université de soutenance;Année de soutenance;Organisme de délivrance;DOI;NNT;Pubmed;Référence;ArXiv;Description;Voir aussi;Réf. HAL;Rang HCERES;Rang CNRS
Bazin D., Letavernier E., Jouanneau C., Ronco P., Sandt C., Dumas P., Matzen G., Véron E., Haymann J.-P., Traxer O., Conort P., Daudon M.;2016;;New insights into the presence of sodium hydrogen urate monohydrate in Randall's plaque;Comptes Rendus Chimie;;;;;;;;;;;;;;;;;;;;;;;;;10.1016/j.crci.2015.02.010;;;;;;;;;
Ben Lakhdar A., Daudon M., Mathieu M.-C., Kellum A., Balleyguier C., Bazin D.;2016;;Underlining the complexity of the structural and chemical characteristics of ectopic calcifications in breast tissues through FE-SEM and μFTIR spectroscopy;Comptes Rendus Chimie;;;;;;;;;;;;;;;;;;;;;;;;;10.1016/j.crci.2015.03.011;;;;;;;;;
Bennett T. D., Todorova T. K., Baxter E. F., Reid D. G., Gervais C., Bueken B., Van De Voorde B., De Vos D., Keen D. A., Mellot-Draznieks C.;2016;;Connecting defects and amorphization in UiO-66 and MIL-140 metal–organic frameworks: a combined experimental and computational stud;Physical Chemistry Chemical Physics;;18;3;;;;;2192-2201;;;;;;;;;;;;;;;;;10.1039/c5cp06798g;;;;;;;;;
Bensaid I., Masse S., Selmane M., Fessi S., Coradin T.;2016;;Growth of gold nanoparticles at gelatin-silica bio-interfaces;APL Materials;;4;1;;;;;015704;;;;;;;;;;;;;;;;;10.1063/1.4935309;;;;;;;;;
Bouyarmane H., Gouza A., Masse S., Saoiabi S., Saoiabi A., Coradin T., Laghzizil A.;2016;;Nanoscale conversion of chlorapatite into hydroxyapatite using ultrasound irradiation;Colloids and Surfaces A: Physicochemical and Engineering Aspects;;495;;;;;;187-192;;;;;;;;;;;;;;;;;10.1016/j.colsurfa.2016.02.014;;;;;;;;;
Córdoba L., Montemor M., Coradin T.;2016;;Silane/TiO 2 coating to control the corrosion rate of magnesium alloys in simulated body fluid;Corrosion Science;;104;;;;;;152-161;;;;;;;;;;;;;;;;;10.1016/j.corsci.2015.12.006;;;;;;;;;
Dalstein O., Ceratti D. R., Boissière C., Grosso D., Cattoni A., Faustini M.;2016;;Nanoimprinted, Submicrometric, MOF-Based 2D Photonic Structures: Toward Easy Selective Vapors Sensing by a Smartphone Camera;Advanced Functional Materials;;26;1;;;;;80;;;;;;;;;;;;;;;;;10.1002/adfm.201670006;;;;;;;;;
Damay F., Bazin D., Daudon M., André G.;2016;;Neutron diffraction as a probe for the characterization of biological entities;Comptes Rendus Chimie;;;;;;;;;;;;;;;;;;;;;;;;;10.1016/j.crci.2015.01.011;;;;;;;;;
Gras P., Baker A., Combes C., Rey C., Sarda S., Wright A. J., Smith M. E., Hanna J. V., Gervais C., Laurencin D., Bonhomme C.;2016;;From crystalline to amorphous calcium pyrophosphates: a solid state Nuclear Magnetic Resonance perspective;Acta Biomaterialia;;31;;;;;;348-357;;;;;;;;;;;;;;;;;10.1016/j.actbio.2015.10.016;;;;;;;;;
Mathonnet M., Dessombz A., Bazin D., Weil R., Triponez F., Pusztaszeri M., Daudon M.;2016;;Chemical diversity of calcifications in thyroid and hypothetical link to disease;Comptes Rendus Chimie;;;;;;;;;;;;;;;;;;;;;;;;;10.1016/j.crci.2015.02.008;;;;;;;;;
Osoro G. M., Bregiroux D., Thi M. P., Levassort F.;2016;;Structural and piezoelectric properties evolution induced by cobalt doping and cobalt/niobium co-doping in BaTiO3;Materials Letters;;166;1;;;;;259-262;;;;;;;;;;;;;;;;;10.1016/j.matlet.2015.12.086;;;;;;;;;
Saavedra-Torres M., Tielens F., Santos J. C.;2016;;Dibenzyl disulfide adsorption on Cu(111) surface: a DFT study;Theoretical Chemistry Accounts: Theory, Computation, and Modeling;;135;7;;;;;1-9;;;;;;;;;;;;;;;;;10.1007/s00214-015-1763-y;;;;;;;;;
Skara G., Baran R., Onfroy T., De Proft F., Dzwigaj S., Tielens F.;2016;;Characterization of zeolitic intraframework molybdenum sites;Mesoporous and Microporous Materials;;225;;;;;;355-364;;;;;;;;;;;;;;;;;10.1016/j.micromeso.2015.11.062;;;;;;;;;
Tielens F., Christel G., Deroy G., Jaber M., Stievano L., Coelho Diogo C., Lambert J.-F.;2016;;Characterization of Phosphate Species on Hydrated Anatase TiO2 Surfaces;Langmuir;;32;4;;;;;997-1008;;;;;;;;;;;;;;;;;10.1021/acs.langmuir.5b03519;;;;;;;;;
Weiland E., Springuel-Huet M.-A., Nossov A., Gédéon A.;2016;;129Xenon NMR: Review of Recent Insights into Porous Materials;Microporous and Mesoporous Materials;;225;;;;;;41-65;;;;;;;;;;;;;;;;;10.1016/j.micromeso.2015.11.025;;;;;;;;;
Baroudi I., Sirnonnet-Jegat C., Roch-Marchal C., Leclerc-Laronze N., Livage C., Martineau C., Gervais C., Cadot E., Carn F., Fayolle B., Steunou N.;2015;;Supramolecular Assembly of Gelatin and Inorganic Polyanions: Fine-Tuning the Mechanical Properties of Nanocomposites by Varying Their Composition and Microstructure;Chemistry of Materials;;27;5;;;;;1452-1464;;;;;;;;;;;;;;;;;10.1021/cm502605q;;;;;;;;;
Baxter E. F., Bennett T. D., Mellot-Draznieks C., Gervais C., Blanc F., Cheetham A. K.;2015;;Combined experimental and computational NMR study of crystalline and amorphous zeolitic imidazolate frameworks;Physical Chemistry Chemical Physics;;17;38;;;;;25191-25196;;;;;;;;;;;;;;;;;10.1039/c5cp02552d;;;;;;;;;
Bazin D., Daudon M.;2015;;Les pathologies microcristallines et les techniques de physicochimie : quelques avancées;Annales de Biologie Clinique;;73;5;;;;;517-534;;;;;;;;;;;;;;;;;10.1684/abc.2015.1070;;;;;;;;;
