Auteurs;Titre;Sous-titre;Revue;Editeur;Année;Volume;Numéro;Pages;DOI;PMID;pdf1;pdf2;pdf3;pdf4;pdf5;reprint
J. B. Holm, S. Mazaud-Guittot, N. B. Danneskiold-Samsøe, C. Chalmey, B. Jensen, M. M. Nørregård, C. H. Hansen, B. Styrishave, T. Svingen, A. M. Vinggaard, H. M. Koch, J. Bowles, P. Koopman, B. Jégou, K. Kristiansen, D. M. Kristensen, ;Intrauterine exposure to paracetamol and aniline impairs female reproductive development by reducing follicle reserves and fertility;;Toxicological Sciences;;2016;;;;DOI : https://doi.org/10.1093/toxsci/kfv332;Pubmed : 26732887;;;;;;;
A.-S. Borowiec, B. Sion, F. Chalmel, A. D. Rolland, L. Lemonnier, T. De Clerck, A. Bokhobza, S. Derouiche, E. Dewailly, C. Slomianny, C. Mauduit, M. Benahmed, M. Roudbaraki, B. Jégou, N. Prevarskaya, G. Bidaux, ;Cold/menthol TRPM8 receptors initiate the cold-shock response and protect germ cells from cold-shock-induced oxidation;;FASEB Journal;Federation of American Society of Experimental Biology;2016;30;9;3155--3170;DOI : https://doi.org/10.1096/fj.201600257R;Pubmed : 27317670;;;;;;;
C. Hao, A. Gély-Pernot, C. Kervarrec, M. Boudjema, E. Becker, P. Khil, S. Tevosian, B. Jégou, F. Smagulova, ;Exposure to the widely used herbicide atrazine results in deregulation of global tissue-specific RNA transcription in the third generation and is associated with a global decrease of histone trimethylation in mice.;;Nucleic Acids Research;;2016;44;;9784-9802;DOI : https://doi.org/10.1093/nar/gkw840;Pubmed : 27655631;;;;;;;
L. Houzet, M. Perez-Losada, G. Matusali, C. Deleage, N. Dereuddre-Bosquet, A.-P. Satie, B. Jégou, R. Le Grand, B. F. Keele, K. A. Crandall, N. Dejucq-Rainsford, ;Origin of AIDS Virus in Semen;;AIDS Research and Human Retroviruses;Mary Ann Liebert;2016;32;;269--269;;;;;;;;;
D. M. Kristensen, S. Mazaud-Guittot, P. Gaudriault, L. Lesné, T. Serrano, K. M. Main, B. Jégou, ;Analgesic use - prevalence, biomonitoring and endocrine and reproductive effects;;Nature Reviews Endocrinology;;2016;12;7;381--393;DOI : https://doi.org/10.1038/nrendo.2016.55;Pubmed : 27150289;;;;;;;
A. Rosenmai, C. Taxvig, T. Svingen, X. Trier, B. Vugt-Lussenburg, M. Pedersen, L. Lesné, B. Jégou, A. Vinggaard, ;Fluorinated alkyl substances and technical mixtures used in food paper-packaging exhibit endocrine-related activity in vitro;;Andrology;;2016;4;;662--672;DOI : https://doi.org/10.1111/andr.12190;Pubmed : 27152447;;;;;;;
T. A. Darde, O. Sallou, E. Becker, B. Evrard, C. Monjoeaud, Y. Le Bras, B. Jégou, O. Collin, A. D. Rolland, F. Chalmel, ;The ReproGenomics Viewer: an integrative cross-species toolbox for the reproductive science community.;;Nucleic Acids Research;Oxford University Press (OUP): Policy C - Option B;2015;43;;8;DOI : https://doi.org/10.1093/nar/gkv345;Pubmed : 25883147;;<a href='https://hal-univ-rennes1.archives-ouvertes.fr/hal-01146120/file/nar.gkv345.full.pdf'><img alt='PDF' src='https://ecobio.univ-rennes1.fr/PDF_icon.gif' height='13px' border='0'  title='PDF' /></a>;;;;;
J. B. Holm, C. Chalmey, H. Modick, L. S. Jensen, G. Dierkes, T. Weiss, B. Jensen, M. M. Nørregård, K. Borkowski, B. Styrishave, H. M. Koch, S. Mazaud-Guittot, B. Jégou, K. Kristiansen, D. M. Kristensen, ;Aniline is rapidly converted into paracetamol impairing male reproductive development;;Toxicological Sciences: An Official Journal of the Society of Toxicology;;2015;148;1;288-298;DOI : https://doi.org/10.1093/toxsci/kfv179;Pubmed : 26259604;;;;;;;
F. G. Petit, C. Kervarrec, S. P. Jamin, F. Smagulova, C. Hao, E. Becker, B. Jégou, F. Chalmel, M. Primig, ;Combining RNA and Protein Profiling Data with Network Interactions Identifies Genes associated with Spermatogenesis in Mouse and Human.;;Biology of Reproduction;Society for the Study of Reproduction;2015;92(3);;1-18;DOI : https://doi.org/10.1095/​biolreprod.114.126250;Pubmed : 25609838;;;;;;;
A. Gély-Pernot, C. Hao, E. Becker, I. Stuparevic, C. Kervarrec, F. Chalmel, M. Primig, B. Jégou, F. Smagulova, ;The epigenetic processes of meiosis in male mice are broadly affected by the widely used herbicide atrazine;;BMC Genomics;BioMed Central;2015;16;1;885;DOI : https://doi.org/10.1186/s12864-015-2095-y;Pubmed : 26518232;;;;;;;
